header,log2FoldChange,pvalue,padj
ss-miR-152,-0.0566679900938754,0.773844722086761,0.997012493975444
ss-miR-153,-0.0764701109794745,0.574548905534225,0.997012493975444
ss-miR-154k,0.0210417962380241,0.775654246936131,0.997012493975444
ss-miR-154z,-0.0109180649055447,0.948753500034994,0.997012493975444
ss-miR-154c,-0.349497351134271,0.115450513292147,0.997012493975444
ss-miR-155,-0.181996221825433,0.337416712283154,0.997012493975444
ss-miR-15k,0.0294592215837175,0.874252758221573,0.997012493975444
ss-miR-15z,-0.349906088550483,0.129304224702043,0.997012493975444
ss-miR-16k,-0.137088391333164,0.40981080040404,0.997012493975444
ss-miR-16z,-0.0870859771120119,0.608893004891021,0.997012493975444
ss-miR-17-3p,-0.168780005726687,0.341504329737756,0.997012493975444
ss-miR-181k,-0.244274924540872,0.167114063863215,0.997012493975444
ss-miR-181z,-0.182155457397648,0.321431221399939,0.997012493975444
ss-miR-181c,0.0851563584129831,0.600282703040618,0.997012493975444
ss-miR-181d,0.144902479142245,0.496707158186507,0.997012493975444
ss-miR-182,0.172273498108717,0.435139860137148,0.997012493975444
ss-miR-183,0.336138421813287,0.107132907250884,0.997012493975444
ss-miR-1839,0.0295082485311481,0.865622337132322,0.997012493975444
ss-miR-184,-0.708469803711486,0.00192754166244448,0.186402352931494
ss-miR-1842,0.00247394550858349,0.981557003439476,0.997012493975444
ss-miR-185,0.677780255683245,0.00174947258210912,0.186402352931494
ss-miR-186,0.140004060765323,0.436863523488863,0.997012493975444
ss-miR-187,0.021041796238024,0.775654246936131,0.997012493975444
ss-miR-188,0.0905040840138185,0.574106450566414,0.997012493975444
ss-miR-18k,0.0322036101521603,0.885420575873733,0.997012493975444
ss-miR-18z,-0.0131368344667661,0.858783259516642,0.997012493975444
ss-miR-190k,0.0337473615804517,0.843442811878897,0.997012493975444
ss-miR-190z,-0.0935760594615191,0.449056660113531,0.997012493975444
ss-miR-191,0.0250801246001654,0.882140572989203,0.997012493975444
ss-miR-192,0.320649578790393,0.0229978543773763,0.692235416759028
ss-miR-193k-3p,0.125291744278599,0.602573944856124,0.997012493975444
ss-miR-193z,-0.17388605516383,0.412897722719852,0.997012493975444
ss-miR-194,-0.128617490061987,0.538348767471645,0.997012493975444
ss-miR-195,-0.0202674969954618,0.91508915874066,0.997012493975444
ss-miR-196k,-0.0157692093876428,0.895968614289296,0.997012493975444
ss-miR-197,-0.316352552496769,0.162991906068989,0.997012493975444
ss-miR-199k-3p,-0.0589333447637193,0.770416179692573,0.997012493975444
ss-miR-199z,-0.0407667533145743,0.837813577954752,0.997012493975444
ss-miR-19k,0.292059747554426,0.228582447049819,0.997012493975444
ss-miR-19z,0.135103407864533,0.575212355983088,0.997012493975444
ss-miR-200k,0.22199058631153,0.323090864076335,0.997012493975444
ss-miR-200z,-0.001068380576129,0.99604422682831,0.997012493975444
ss-miR-200c,-0.172353168719845,0.419583963940796,0.997012493975444
ss-miR-204,-0.0489369477797805,0.836398390686409,0.997012493975444
ss-miR-205,-0.278428405175794,0.20845813146044,0.997012493975444
ss-miR-208z,0.024373240715871,0.770286314255789,0.997012493975444
ss-miR-20k,0.0385372764309484,0.863617778243754,0.997012493975444
ss-miR-20z,-0.0855142836293324,0.332926874902803,0.997012493975444
ss-miR-21-3p,-0.182178979689605,0.424763996079473,0.997012493975444
ss-miR-210,-0.339315075755974,0.126706635196613,0.997012493975444
ss-miR-211,-0.171583896772624,0.475902249814147,0.997012493975444
ss-miR-212,0.00036879434185053,0.996733194091687,0.997012493975444
ss-miR-214,-0.33552038010091,0.0958521380008793,0.961716451275489
ss-miR-215,0.379494513417245,0.117104759818935,0.997012493975444
ss-miR-218,0.064652182662595,0.775146639760927,0.997012493975444
ss-miR-219,-0.0251845200043515,0.73358611701106,0.997012493975444
ss-miR-22-3p,-0.135539211062058,0.326623220049671,0.997012493975444
ss-miR-221,-0.0284225530531361,0.816619781252918,0.997012493975444
ss-miR-222,-0.0036188645939581,0.986178480872072,0.997012493975444
ss-miR-224,-0.142014019288686,0.558516649874122,0.997012493975444
ss-miR-2284kz,-0.0250702099099021,0.91693730259359,0.997012493975444
ss-miR-2284kc,0.0554638419056655,0.629959731101657,0.997012493975444
ss-miR-2284h-3p,-0.0245297113683628,0.739718167406633,0.997012493975444
ss-miR-2284q,0.0733693197800188,Na,Na
ss-miR-2284t-3p,-0.00174395756516937,0.981155806980037,0.997012493975444
ss-miR-2284w,-0.147031169235591,0.538650380217134,0.997012493975444
ss-miR-2284x,-0.0803003181740931,0.549334161060661,0.997012493975444
ss-miR-2285kk,0.181539903400967,0.445590460443984,0.997012493975444
ss-miR-2285ke,-0.00174395756516938,0.981155806980037,0.997012493975444
ss-miR-2285z,0.0433692503986897,0.641178361465114,0.997012493975444
ss-miR-2285k,-0.00367113351892693,Na,Na
ss-miR-2285p,-0.00174395756516938,0.981155806980037,0.997012493975444
ss-miR-2285q,0.145413964210021,0.549049102310677,0.997012493975444
ss-miR-2285r,0.0717259635847614,Na,Na
ss-miR-2285t,0.0600903888510079,0.603097177643981,0.997012493975444
ss-miR-2299-3p,0.00251557006164006,0.991127459885769,0.997012493975444
ss-miR-2300z-3p,0.0210417962380241,0.775654246936131,0.997012493975444
ss-miR-2308,0.021041796238024,0.775654246936131,0.997012493975444
ss-miR-2311,0.0324346731396208,0.660451303006384,0.997012493975444
ss-miR-2313-3p,-0.0345512787447125,0.639995061419636,0.997012493975444
ss-miR-2318,-0.0461158116685017,0.533031338361738,0.997012493975444
ss-miR-2320-3p,-0.0271622233953221,0.74138912576524,0.997012493975444
ss-miR-2336,-0.0142341318215846,0.948280493672559,0.997012493975444
ss-miR-2346,0.021041796238024,0.775654246936131,0.997012493975444
ss-miR-2387,0.125306797215078,0.216783309123561,0.997012493975444
ss-miR-2399-3p,0.0210417962380241,0.775654246936131,0.997012493975444
ss-miR-23k,-0.171491528349513,0.332193841393279,0.997012493975444
ss-miR-23z-3p,-0.272857107610994,0.152754970681592,0.997012493975444
ss-miR-24,0.236955481731741,0.0662212046889136,0.807293488688478
ss-miR-24-3p,0.235663913572096,0.0670509542100065,0.807293488688478
